Precursor Neutral Formula,Area,Product Mz,Replicate
C'10Cl6H16,133483000,390.941266,Blank_procedure_RB7_01_3317
C'10Cl6H16,191374384,390.941266,Cal_A_1_RA3_01_3342
C'10Cl6H16,145843776,390.941266,Cal_A_2_RA4_01_3343
C'10Cl6H16,98855784,390.941266,Cal_A_3_RA5_01_3344
C'10Cl6H16,182388224,390.941266,Cal_B_1_RA6_01_3345
C'10Cl6H16,100856144,390.941266,Cal_B_2_RA7_01_3346
C'10Cl6H16,68113968,390.941266,Cal_B_3_RA8_01_3347
C'10Cl6H16,160889248,390.941266,Cal_C_1_RB1_01_3348
C'10Cl6H16,89231792,390.941266,Cal_C_2_RB2_01_3349
C'10Cl6H16,49735624,390.941266,Cal_C_3_RB3_01_3350
C'10Cl6H16,154133040,390.941266,Lard-B_RC3_01_3321
C'10Cl6H16,165176720,390.941266,Lard-D_RC4_01_3322
C'10Cl6H16,186628928,390.941266,pork-1_RB8_01_3318
C'10Cl6H16,184850624,390.941266,pork-2_RC1_01_3319
C'10Cl6H16,164672528,390.941266,pork-3_RC2_01_3320
C'10Cl6H16,23981136,391.935216,Blank_procedure_RB7_01_3317
C'10Cl6H16,33256242,391.935216,Cal_A_1_RA3_01_3342
C'10Cl6H16,25324988,391.935216,Cal_A_2_RA4_01_3343
C'10Cl6H16,16137483,391.935216,Cal_A_3_RA5_01_3344
C'10Cl6H16,31541484,391.935216,Cal_B_1_RA6_01_3345
C'10Cl6H16,16682705,391.935216,Cal_B_2_RA7_01_3346
C'10Cl6H16,10726758,391.935216,Cal_B_3_RA8_01_3347
C'10Cl6H16,27107974,391.935216,Cal_C_1_RB1_01_3348
C'10Cl6H16,14040926,391.935216,Cal_C_2_RB2_01_3349
C'10Cl6H16,7667118,391.935216,Cal_C_3_RB3_01_3350
C'10Cl6H16,26536800,391.935216,Lard-B_RC3_01_3321
C'10Cl6H16,28153580,391.935216,Lard-D_RC4_01_3322
C'10Cl6H16,33048400,391.935216,pork-1_RB8_01_3318
C'10Cl6H16,32827830,391.935216,pork-2_RC1_01_3319
C'10Cl6H16,28162744,391.935216,pork-3_RC2_01_3320
C'10Cl6H16,316585760,392.938306,Blank_procedure_RB7_01_3317
C'10Cl6H16,451312480,392.938306,Cal_A_1_RA3_01_3342
C'10Cl6H16,339006816,392.938306,Cal_A_2_RA4_01_3343
C'10Cl6H16,241923792,392.938306,Cal_A_3_RA5_01_3344
C'10Cl6H16,433720928,392.938306,Cal_B_1_RA6_01_3345
C'10Cl6H16,250394320,392.938306,Cal_B_2_RA7_01_3346
C'10Cl6H16,167549408,392.938306,Cal_B_3_RA8_01_3347
C'10Cl6H16,382363808,392.938306,Cal_C_1_RB1_01_3348
C'10Cl6H16,218604160,392.938306,Cal_C_2_RB2_01_3349
C'10Cl6H16,122683664,392.938306,Cal_C_3_RB3_01_3350
C'10Cl6H16,364627968,392.938306,Lard-B_RC3_01_3321
C'10Cl6H16,387365248,392.938306,Lard-D_RC4_01_3322
C'10Cl6H16,441710848,392.938306,pork-1_RB8_01_3318
C'10Cl6H16,437027360,392.938306,pork-2_RC1_01_3319
C'10Cl6H16,388715072,392.938306,pork-3_RC2_01_3320
C10H18Cl4,1269946,312.985663,Blank_procedure_RB7_01_3317
C10H18Cl4,15730736,312.985663,Cal_A_1_RA3_01_3342
C10H18Cl4,44722408,312.985663,Cal_A_2_RA4_01_3343
C10H18Cl4,57294272,312.985663,Cal_A_3_RA5_01_3344
C10H18Cl4,16907456,312.985663,Cal_B_1_RA6_01_3345
C10H18Cl4,20412314,312.985663,Cal_B_2_RA7_01_3346
C10H18Cl4,25755370,312.985663,Cal_B_3_RA8_01_3347
C10H18Cl4,0,312.985663,Cal_C_1_RB1_01_3348
C10H18Cl4,86715,312.985663,Cal_C_2_RB2_01_3349
